Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Source,Наличные_USD_Покупка,Наличные_USD_Продажа,Безналичные_USD_Покупка,Безналичные_USD_Продажа,Наличные_KZT_Покупка,Наличные_KZT_Продажа,Безналичные_KZT_Покупка,Безналичные_KZT_Продажа,Наличные_EUR_Покупка,Наличные_EUR_Продажа,Безналичные_EUR_Покупка,Безналичные_EUR_Продажа,Наличные_RUB_Покупка,Наличные_RUB_Продажа,Безналичные_RUB_Покупка,Безналичные_RUB_Продажа
2023-12-29,10.00,62 268.00,62 392.50,NBKR,,,,,,,,,,,,,,,,
2023-12-29,31.1035,190 790.50,193 652.00,NBKR,,,,,,,,,,,,,,,,
2023-12-29,100.00,603 115.50,621 209.00,NBKR,,,,,,,,,,,,,,,,
2024-01-08,31.1035,188 874.00,191 707.00,NBKR,,,,,,,,,,,,,,,,
2024-01-08,10.00,61 651.00,61 774.50,NBKR,,,,,,,,,,,,,,,,
2024-01-08,100.00,596 954.00,614 862.50,NBKR,,,,,,,,,,,,,,,,
2024-01-08,2.00,13 290.00,13 343.00,NBKR,,,,,,,,,,,,,,,,
2024-01-08,5.00,31 280.50,31 374.00,NBKR,,,,,,,,,,,,,,,,
2024-01-08,1.00,7 283.50,7 319.50,NBKR,,,,,,,,,,,,,,,,
2024-01-09,1.00,7 193.50,7 229.50,NBKR,,,,,,,,,,,,,,,,
2024-01-09,2.00,13 110.00,13 162.50,NBKR,,,,,,,,,,,,,,,,
2024-01-09,5.00,30 827.50,30 920.00,NBKR,,,,,,,,,,,,,,,,
2024-01-09,10.00,60 745.50,60 867.00,NBKR,,,,,,,,,,,,,,,,
2024-01-09,31.1035,186 062.00,188 853.00,NBKR,,,,,,,,,,,,,,,,
2024-01-09,100.00,587 914.00,605 551.50,NBKR,,,,,,,,,,,,,,,,
2024-01-10,1.00,7 235.00,7 271.00,NBKR,,,,,,,,,,,,,,,,
2024-01-10,2.00,13 193.00,13 246.00,NBKR,,,,,,,,,,,,,,,,
2024-01-10,5.00,31 037.00,31 130.00,NBKR,,,,,,,,,,,,,,,,
2024-01-10,10.00,61 164.00,61 286.50,NBKR,,,,,,,,,,,,,,,,
2024-01-10,31.1035,187 362.00,190 172.00,NBKR,,,,,,,,,,,,,,,,
2024-01-10,100.00,592 093.00,609 855.50,NBKR,,,,,,,,,,,,,,,,
2024-01-11,100.00,590 000.00,607 700.00,NBKR,,,,,,,,,,,,,,,,
2024-01-11,10.00,60 954.50,61 076.50,NBKR,,,,,,,,,,,,,,,,
2024-01-11,31.1035,186 711.00,189 511.50,NBKR,,,,,,,,,,,,,,,,
2024-01-11,5.00,30 932.00,31 025.00,NBKR,,,,,,,,,,,,,,,,
2024-01-11,1.00,7 214.00,7 250.00,NBKR,,,,,,,,,,,,,,,,
2024-01-11,2.00,13 151.50,13 204.00,NBKR,,,,,,,,,,,,,,,,
2024-01-12,1.00,7 221.00,7 257.00,NBKR,,,,,,,,,,,,,,,,
2024-01-12,2.00,13 165.50,13 218.00,NBKR,,,,,,,,,,,,,,,,
2024-01-12,5.00,30 967.00,31 059.50,NBKR,,,,,,,,,,,,,,,,
2024-01-12,10.00,61 024.00,61 146.00,NBKR,,,,,,,,,,,,,,,,
2024-01-12,31.1035,186 927.00,189 731.00,NBKR,,,,,,,,,,,,,,,,
2024-01-12,100.00,590 695.00,608 415.50,NBKR,,,,,,,,,,,,,,,,
2024-01-15,100.00,598 304.50,616 254.00,NBKR,,,,,,,,,,,,,,,,
2024-01-15,31.1035,189 294.00,192 133.50,NBKR,,,,,,,,,,,,,,,,
2024-01-15,10.00,61 786.50,61 910.00,NBKR,,,,,,,,,,,,,,,,
2024-01-15,1.00,7 297.00,7 333.50,NBKR,,,,,,,,,,,,,,,,
2024-01-15,2.00,13 317.00,13 370.00,NBKR,,,,,,,,,,,,,,,,
2024-01-15,5.00,31 348.00,31 442.00,NBKR,,,,,,,,,,,,,,,,
2024-01-16,31.1035,188 780.50,191 612.00,NBKR,,,,,,,,,,,,,,,,
2024-01-16,100.00,596 653.50,614 553.00,NBKR,,,,,,,,,,,,,,,,
2024-01-16,10.00,61 621.00,61 744.00,NBKR,,,,,,,,,,,,,,,,
2024-01-16,1.00,7 280.50,7 316.50,NBKR,,,,,,,,,,,,,,,,
2024-01-16,2.00,13 284.00,13 337.00,NBKR,,,,,,,,,,,,,,,,
2024-01-16,5.00,31 265.00,31 359.00,NBKR,,,,,,,,,,,,,,,,
2024-01-17,1.00,7 246.50,7 283.00,NBKR,,,,,,,,,,,,,,,,
2024-01-17,2.00,13 216.00,13 269.00,NBKR,,,,,,,,,,,,,,,,
2024-01-17,5.00,31 095.00,31 188.50,NBKR,,,,,,,,,,,,,,,,
2024-01-17,10.00,61 280.50,61 403.00,NBKR,,,,,,,,,,,,,,,,
2024-01-17,31.1035,187 723.50,190 539.50,NBKR,,,,,,,,,,,,,,,,
2024-01-17,100.00,593 256.00,611 053.50,NBKR,,,,,,,,,,,,,,,,
2024-01-18,100.00,585 527.00,603 092.50,NBKR,,,,,,,,,,,,,,,,
2024-01-18,31.1035,185 319.50,188 099.50,NBKR,,,,,,,,,,,,,,,,
2024-01-18,10.00,60 506.50,60 627.50,NBKR,,,,,,,,,,,,,,,,
