Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Год
07.12.2015,31.1035,97 232.50,97 330.00,2015
07.12.2015,100.00,270 199.00,270 469.50,2015
06.12.2015,1.00,4 067.50,4 088.00,2015
06.12.2015,2.00,7 034.00,7 062.50,2015
06.12.2015,5.00,16 206.00,16 254.50,2015
06.12.2015,10.00,31 567.00,31 630.50,2015
06.12.2015,31.1035,95 426.50,95 522.00,2015
06.12.2015,100.00,264 392.00,264 656.50,2015
05.12.2015,1.00,4 067.50,4 088.00,2015
05.12.2015,2.00,7 034.00,7 062.50,2015
05.12.2015,5.00,16 206.00,16 254.50,2015
05.12.2015,10.00,31 567.00,31 630.50,2015
05.12.2015,31.1035,95 426.50,95 522.00,2015
05.12.2015,100.00,264 392.00,264 656.50,2015
04.12.2015,1.00,4 067.50,4 088.00,2015
04.12.2015,2.00,7 034.00,7 062.00,2015
04.12.2015,5.00,16 205.50,16 254.00,2015
04.12.2015,10.00,31 565.50,31 629.00,2015
04.12.2015,31.1035,95 421.50,95 517.00,2015
04.12.2015,100.00,264 377.00,264 641.00,2015
03.12.2015,1.00,4 062.00,4 082.50,2015
03.12.2015,2.00,7 023.00,7 051.00,2015
03.12.2015,5.00,16 178.00,16 226.50,2015
03.12.2015,10.00,31 511.00,31 574.00,2015
03.12.2015,31.1035,95 252.50,95 348.00,2015
03.12.2015,100.00,263 833.50,264 097.00,2015
02.12.2015,1.00,4 089.00,4 109.50,2015
02.12.2015,2.00,7 076.50,7 105.00,2015
02.12.2015,5.00,16 312.50,16 361.50,2015
02.12.2015,10.00,31 780.00,31 843.50,2015
02.12.2015,31.1035,96 088.00,96 184.00,2015
02.12.2015,100.00,266 518.50,266 785.00,2015
01.12.2015,1.00,4 082.50,4 103.00,2015
01.12.2015,2.00,7 063.50,7 092.00,2015
01.12.2015,5.00,16 280.00,16 329.00,2015
01.12.2015,10.00,31 715.00,31 778.50,2015
01.12.2015,31.1035,95 886.00,95 981.50,2015
01.12.2015,100.00,265 869.00,266 135.00,2015
30.11.2015,1.00,4 072.50,4 093.00,2015
30.11.2015,2.00,7 044.00,7 072.00,2015
30.11.2015,5.00,16 231.00,16 280.00,2015
30.11.2015,10.00,31 617.00,31 680.50,2015
30.11.2015,31.1035,95 581.50,95 677.00,2015
30.11.2015,100.00,264 891.00,265 156.00,2015
29.11.2015,1.00,4 105.50,4 126.00,2015
29.11.2015,2.00,7 110.00,7 138.50,2015
29.11.2015,5.00,16 397.00,16 446.50,2015
29.11.2015,10.00,31 949.50,32 013.50,2015
29.11.2015,31.1035,96 614.00,96 710.50,2015
29.11.2015,100.00,268 209.50,268 478.00,2015
28.11.2015,1.00,4 105.50,4 126.00,2015
28.11.2015,2.00,7 110.00,7 138.50,2015
28.11.2015,5.00,16 397.00,16 446.50,2015
28.11.2015,10.00,31 949.50,32 013.50,2015
28.11.2015,31.1035,96 614.00,96 710.50,2015
28.11.2015,100.00,268 209.50,268 478.00,2015
27.11.2015,1.00,4 045.50,4 066.00,2015
27.11.2015,2.00,6 990.00,7 018.00,2015
27.11.2015,5.00,16 094.50,16 143.00,2015
27.11.2015,10.00,31 344.50,31 407.00,2015
27.11.2015,31.1035,94 734.00,94 829.00,2015
27.11.2015,100.00,262 167.00,262 429.00,2015
26.11.2015,1.00,4 014.00,4 034.50,2015
26.11.2015,2.00,6 927.00,6 955.00,2015
26.11.2015,5.00,15 937.00,15 985.00,2015
26.11.2015,10.00,31 029.00,31 091.00,2015
26.11.2015,31.1035,93 755.50,93 849.00,2015
26.11.2015,100.00,259 019.50,259 278.50,2015
25.11.2015,1.00,4 016.00,4 036.00,2015
25.11.2015,2.00,6 930.50,6 958.00,2015
25.11.2015,5.00,15 945.00,15 992.50,2015
25.11.2015,10.00,31 045.00,31 107.00,2015
25.11.2015,31.1035,93 804.50,93 898.00,2015
25.11.2015,100.00,259 177.00,259 436.00,2015
24.11.2015,1.00,4 000.50,4 020.50,2015
24.11.2015,2.00,6 899.50,6 927.00,2015
24.11.2015,5.00,15 867.00,15 914.50,2015
24.11.2015,10.00,30 889.00,30 951.00,2015
24.11.2015,31.1035,93 320.50,93 414.00,2015
24.11.2015,100.00,257 622.50,257 880.00,2015
23.11.2015,1.00,4 013.50,4 033.50,2015
23.11.2015,2.00,6 925.50,6 953.00,2015
23.11.2015,5.00,15 933.00,15 980.50,2015
23.11.2015,10.00,31 020.50,31 082.50,2015
23.11.2015,31.1035,93 729.00,93 823.00,2015
23.11.2015,100.00,258 935.50,259 194.50,2015
22.11.2015,1.00,4 015.50,4 035.50,2015
22.11.2015,2.00,6 929.50,6 957.00,2015
22.11.2015,5.00,15 942.50,15 990.50,2015
22.11.2015,10.00,31 040.50,31 102.50,2015
22.11.2015,31.1035,93 791.00,93 884.50,2015
22.11.2015,100.00,259 133.50,259 393.00,2015
21.11.2015,1.00,4 015.50,4 035.50,2015
21.11.2015,2.00,6 929.50,6 957.00,2015
21.11.2015,5.00,15 942.50,15 990.50,2015
21.11.2015,10.00,31 040.50,31 102.50,2015
21.11.2015,31.1035,93 791.00,93 884.50,2015
21.11.2015,100.00,259 133.50,259 393.00,2015
20.11.2015,1.00,4 016.00,4 036.00,2015
20.11.2015,2.00,6 930.50,6 958.00,2015
