Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Год
04.11.2020,2.00,12 130.00,12 178.50,2020
04.11.2020,5.00,29 025.50,29 112.50,2020
04.11.2020,10.00,57 206.00,57 320.50,2020
04.11.2020,31.1035,175 049.50,177 675.50,2020
04.11.2020,100.00,516 898.00,532 405.00,2020
03.11.2020,1.00,6 451.50,6 483.50,2020
03.11.2020,2.00,11 801.50,11 849.00,2020
03.11.2020,5.00,28 199.50,28 284.00,2020
03.11.2020,10.00,55 553.50,55 665.00,2020
03.11.2020,31.1035,169 919.00,172 467.50,2020
03.11.2020,100.00,500 402.50,515 414.50,2020
02.11.2020,1.00,6 430.50,6 462.50,2020
02.11.2020,2.00,11 759.50,11 806.50,2020
02.11.2020,5.00,28 093.50,28 177.50,2020
02.11.2020,10.00,55 341.50,55 452.50,2020
02.11.2020,31.1035,169 260.50,171 799.00,2020
02.11.2020,100.00,498 285.00,513 234.00,2020
30.10.2020,1.00,6 400.00,6 432.00,2020
30.10.2020,2.00,11 699.00,11 746.00,2020
30.10.2020,5.00,27 941.00,28 025.00,2020
30.10.2020,10.00,55 037.50,55 147.50,2020
30.10.2020,31.1035,168 315.50,170 840.00,2020
30.10.2020,100.00,495 247.50,510 105.00,2020
29.10.2020,1.00,6 391.50,6 423.50,2020
29.10.2020,2.00,11 681.50,11 728.00,2020
29.10.2020,5.00,27 897.00,27 981.00,2020
29.10.2020,10.00,54 949.50,55 059.00,2020
29.10.2020,31.1035,168 041.50,170 562.00,2020
29.10.2020,100.00,494 367.00,509 198.00,2020
28.10.2020,1.00,6 452.00,6 484.00,2020
28.10.2020,2.00,11 802.50,11 849.50,2020
28.10.2020,5.00,28 201.00,28 285.50,2020
28.10.2020,10.00,55 557.00,55 668.50,2020
28.10.2020,31.1035,169 929.50,172 478.50,2020
28.10.2020,100.00,500 437.00,515 450.50,2020
27.10.2020,1.00,6 403.00,6 435.00,2020
27.10.2020,2.00,11 705.00,11 752.00,2020
27.10.2020,5.00,27 956.50,28 040.00,2020
27.10.2020,10.00,55 067.50,55 178.00,2020
27.10.2020,31.1035,168 409.00,170 935.50,2020
27.10.2020,100.00,495 548.50,510 415.00,2020
26.10.2020,1.00,6 416.00,6 448.50,2020
26.10.2020,2.00,11 731.00,11 778.00,2020
26.10.2020,5.00,28 022.00,28 106.00,2020
26.10.2020,10.00,55 198.50,55 309.00,2020
26.10.2020,31.1035,168 816.00,171 348.50,2020
26.10.2020,100.00,496 857.50,511 763.50,2020
23.10.2020,1.00,6 416.00,6 448.00,2020
23.10.2020,2.00,11 731.00,11 778.00,2020
23.10.2020,5.00,28 021.50,28 105.50,2020
23.10.2020,10.00,55 197.50,55 308.00,2020
23.10.2020,31.1035,168 813.00,171 345.50,2020
23.10.2020,100.00,496 847.50,511 753.00,2020
22.10.2020,1.00,6 479.50,6 512.00,2020
22.10.2020,2.00,11 858.00,11 905.00,2020
22.10.2020,5.00,28 340.50,28 425.50,2020
22.10.2020,10.00,55 836.50,55 948.00,2020
22.10.2020,31.1035,170 796.50,173 358.00,2020
22.10.2020,100.00,503 223.50,518 320.00,2020
21.10.2020,1.00,6 437.50,6 469.50,2020
21.10.2020,2.00,11 774.00,11 821.00,2020
21.10.2020,5.00,28 129.50,28 214.00,2020
21.10.2020,10.00,55 414.00,55 524.50,2020
21.10.2020,31.1035,169 484.50,172 027.00,2020
21.10.2020,100.00,499 006.00,513 976.50,2020
