Дата,Kyrgyz_Altyn_Slitok_1_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_1_Цена_продажи,Kyrgyz_Altyn_Slitok_2_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_2_Цена_продажи,Kyrgyz_Altyn_Slitok_5_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_5_Цена_продажи,Kyrgyz_Altyn_Slitok_10_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_10_Цена_продажи,Kyrgyz_Altyn_Slitok_20_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_20_Цена_продажи,Kyrgyz_Altyn_Slitok_31_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_31_Цена_продажи,Kyrgyz_Altyn_Slitok_50_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_50_Цена_продажи,Kyrgyz_Altyn_Slitok_100_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_100_Цена_продажи,Kyrgyz_Altyn_Slitok_1000_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_1000_Цена_продажи,NBKR_Slitok_1_Цена_обратного_выкупа,NBKR_Slitok_1_Цена_продажи,NBKR_Slitok_2_Цена_обратного_выкупа,NBKR_Slitok_2_Цена_продажи,NBKR_Slitok_5_Цена_обратного_выкупа,NBKR_Slitok_5_Цена_продажи,NBKR_Slitok_10_Цена_обратного_выкупа,NBKR_Slitok_10_Цена_продажи,NBKR_Slitok_31_Цена_обратного_выкупа,NBKR_Slitok_31_Цена_продажи,NBKR_Slitok_100_Цена_обратного_выкупа,NBKR_Slitok_100_Цена_продажи,Optima_Покупка_EUR_Безналичные,Optima_Покупка_KZT_Безналичные,Optima_Покупка_RUB_Безналичные,Optima_Покупка_USD_Безналичные,Optima_Продажа_EUR_Безналичные,Optima_Продажа_KZT_Безналичные,Optima_Продажа_RUB_Безналичные,Optima_Продажа_USD_Безналичные
2024-12-07,8655.0,8698.5,16117.5,16182.0,38479.5,38595.0,75311.0,75825.5,149595.5,151839.5,231411.5,234882.5,370979.0,382108.5,739469.0,761653.5,7537052.0,7582274.5,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-06,8663.0,8706.5,16133.5,16198.0,38519.5,38635.0,75390.5,75825.5,149754.5,152001.0,231659.0,235134.0,371377.0,382518.0,740264.5,762472.5,7545005.5,7590275.5,8754.5,8798.5,16232.0,16297.0,38682.0,38798.0,75585.5,76020.5,231868.0,235346.0,740663.5,762883.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-05,8687.0,8730.0,16181.0,16245.5,38638.5,38754.0,75628.0,75825.5,150229.0,152482.5,232396.5,235882.5,372563.0,383740.0,742636.5,764915.5,7568725.5,7614138.0,8778.0,8822.0,16279.5,16344.5,38801.0,38917.5,75823.0,76020.5,232605.5,236095.0,743035.5,765326.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-04,8664.5,8708.0,16136.5,16201.0,38526.5,38642.0,75404.5,75825.5,149782.5,152029.0,231702.5,235178.0,371446.5,382590.0,740404.0,762616.0,7546400.5,7591679.0,8756.0,8799.5,16235.0,16300.0,38689.0,38805.0,75599.0,76020.5,231911.5,235390.0,740803.0,763027.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-03,8668.5,8712.0,16144.5,16209.0,38547.0,38663.0,75446.0,75825.5,149865.0,152113.0,231830.5,235308.0,371653.0,382802.5,740816.5,763041.0,7550527.0,7595830.5,8760.0,8804.0,16243.0,16308.0,38710.0,38826.0,75640.5,76020.5,232039.5,235520.5,741215.5,763452.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-02,,,,,,,,,,,,,,,,,,,8785.0,8828.5,16293.0,16358.0,38834.5,38951.0,75890.0,76041.5,232814.0,236306.5,743705.5,766016.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-30,8693.5,8737.0,16194.0,16259.0,38672.0,38788.0,75695.5,75846.5,150363.0,152618.5,232605.0,236094.0,372898.0,384085.0,743306.5,765605.5,7575423.0,7620875.5,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-29,8668.0,8711.0,16143.0,16207.5,38543.0,38659.0,75438.0,75825.5,149849.0,152097.0,231806.0,235283.0,371613.5,382761.5,740737.5,762959.5,7549732.5,7595031.0,8759.0,8803.0,16241.5,16306.5,38706.0,38822.0,75632.5,76020.5,232015.0,235495.0,741136.0,763370.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-28,8665.0,8708.5,16137.5,16202.0,38529.5,38645.0,75410.0,75825.5,149793.5,152040.5,231719.5,235195.5,371474.5,382619.0,740460.0,762673.5,7546959.0,7592240.5,8756.5,8800.0,16236.0,16301.0,38692.0,38808.0,75605.0,76020.5,231928.5,235407.5,740859.0,763084.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-27,8613.0,8656.0,16033.5,16097.5,38267.0,38382.0,75674.0,75825.5,148747.0,150978.5,230092.0,233543.5,368857.5,379923.5,735227.5,757284.5,7494634.5,7539602.5,8704.5,8748.0,16132.0,16196.5,38430.0,38545.0,75081.0,76020.5,230301.0,233755.5,735626.5,757695.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-26,8649.0,8692.5,16105.5,16170.0,38448.5,38564.0,75674.0,75825.0,149471.5,151713.5,231218.5,234687.0,370669.0,381789.0,738849.0,761014.5,7530852.0,7576037.0,8740.5,8784.0,16204.0,16269.0,38611.5,38727.0,75443.5,76020.5,231427.5,234899.0,739248.0,761425.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-25,,,,,,,,,,,,,,,,,,,8881.0,8925.5,16485.0,16551.0,39318.0,39435.5,76856.5,77010.5,235816.0,239353.5,753357.0,775957.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-23,8789.5,8833.5,16386.5,16452.0,39155.0,39272.5,76662.0,76815.5,152293.0,154577.5,235607.0,239141.0,377725.5,389057.5,752958.0,775546.5,7671938.5,7717970.0,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-22,8707.5,8751.0,16222.0,16287.0,38742.0,38858.5,75836.0,75988.0,150644.0,152903.5,233042.5,236538.0,373601.5,384809.5,744712.5,767053.5,7589482.5,7635019.5,8799.0,8843.0,16321.0,16386.0,38905.0,39021.5,76030.5,76183.0,233251.5,236750.0,745111.0,767464.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-21,8639.0,8682.0,16085.0,16149.5,38397.5,38512.5,75146.5,75297.0,149267.5,151506.5,230901.5,234365.0,370159.0,381263.5,737829.5,759964.0,7520653.5,7565777.5,8730.5,8774.0,16184.0,16248.5,38560.0,38676.0,75341.5,76020.5,231110.5,234577.0,738228.5,760375.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-20,8591.0,8634.0,15989.0,16053.0,38156.0,38270.5,74663.5,74813.0,148302.5,150527.0,229400.5,232841.5,367745.5,378778.0,733004.5,754994.5,7472403.5,7517238.0,8682.5,8725.5,16087.5,16152.0,38318.5,38433.5,74858.0,75008.0,229609.5,233054.0,733403.5,755405.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-19,8545.5,8588.5,15898.5,15962.0,37928.0,38042.0,74208.0,74356.5,147393.0,149604.0,227986.5,231406.0,365471.5,376435.5,728457.5,750311.0,7426934.5,7471496.5,8637.0,8680.0,15997.0,16061.0,38091.0,38205.0,74402.5,74551.5,228195.5,231618.5,728856.5,750722.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-18,,,,,,,,,,,,,,,,,,,8540.0,8582.5,15803.0,15866.5,37602.5,37715.5,73426.5,73573.5,225163.5,228541.0,719109.0,740682.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-16,8448.5,8491.0,15704.5,15767.5,37440.0,37552.5,73232.0,73378.5,145443.5,147625.5,224954.5,228329.0,360596.5,371414.0,718710.0,740271.5,7329461.5,7373438.5,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-15,8426.0,8468.0,15659.5,15722.0,37326.5,37438.5,73004.5,73150.5,144989.5,147164.5,224248.5,227612.0,359460.5,370244.5,716439.5,737932.5,7306753.5,7350594.0,8517.5,8560.0,15758.0,15821.0,37489.0,37601.5,73199.0,73345.5,224457.5,227824.0,716838.5,738343.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-14,8498.5,8541.0,15804.0,15867.0,37690.0,37803.0,73731.5,73879.0,146441.5,148638.0,226506.0,229903.5,363091.0,373984.0,723698.5,745409.5,7379344.0,7423620.0,8589.5,8632.5,15902.5,15966.0,37852.5,37966.0,73926.0,74074.0,226715.0,230116.0,724097.5,745820.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-13,8520.5,8563.0,15848.5,15912.0,37802.5,37915.5,73956.5,74104.0,146890.0,149093.5,227204.5,230612.5,364214.0,375140.5,725943.0,747721.5,7401791.5,7446202.5,8612.0,8655.0,15947.0,16011.0,37965.0,38079.0,74151.0,74299.0,227413.5,230824.5,726342.0,748132.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-12,8570.0,8613.0,15947.0,16011.0,38050.5,38165.0,74453.0,74602.0,147882.5,150100.5,228747.5,232178.5,366695.0,377696.0,730904.0,752831.0,7451398.5,7496107.0,8661.5,8704.5,16046.0,16110.0,38213.5,38328.0,74647.5,74797.0,228956.5,232390.5,731303.0,753242.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-11,,,,,,,,,,,,,,,,,,,8844.5,8888.5,16412.0,16478.0,39135.0,39252.5,76491.0,76643.5,234680.0,238200.5,749704.5,772195.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-09,8753.0,8797.0,16313.5,16379.0,38972.0,39089.0,76296.0,76448.5,151562.5,153836.0,234471.0,237988.0,375898.5,387175.5,749305.5,771784.5,7635414.5,7681227.0,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-06,8885.5,8929.5,16589.0,16655.5,39670.5,39789.5,77698.5,77854.0,154363.0,156678.5,238826.0,242408.5,382901.0,394388.0,763305.0,786204.0,7775427.5,7822080.0,8984.0,9029.0,16691.0,16757.5,39836.0,39955.5,77893.0,78049.0,239035.0,242620.5,763705.5,786617.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-05,8853.0,8897.0,16524.0,16590.0,39507.0,39625.5,77371.0,77525.5,153709.0,156014.5,237809.0,241376.0,381265.5,392703.5,760035.0,782836.0,7742730.0,7789186.0,8951.5,8996.0,16626.0,16692.5,39672.5,39791.5,77565.5,77720.5,238018.0,241588.5,760436.0,783249.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-04,,,,,,,,,,,,,,,,,,,8956.0,9001.0,16635.0,16701.5,39696.0,39815.0,77612.5,77768.0,238164.0,241736.5,760905.0,783732.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-02,8857.5,8901.5,16533.5,16599.5,39530.5,39.0,77418.0,77573.0,153803.0,156110.0,237955.0,241524.0,381498.5,392943.5,760499.0,783314.0,7747419.0,7793903.5,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-11-01,8829.5,8873.5,16477.5,16543.5,39390.0,39508.5,77137.5,77292.0,153243.0,155541.5,237084.0,240640.0,380098.5,391501.5,757699.0,780430.0,7719421.0,7765737.5,8928.0,8973.0,16579.5,16646.0,39555.5,39674.0,77332.0,77487.0,237293.0,240852.5,758105.0,780848.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-31,8949.5,8994.0,16717.5,16784.0,39993.0,40113.0,78343.5,78500.0,155651.0,157985.5,240829.0,244441.5,386120.5,397704.0,769740.0,792832.0,7839828.0,7886867.0,9048.0,9093.0,16819.0,16886.5,40158.5,40279.0,78538.0,78695.0,241038.0,244653.5,770145.5,793250.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-30,8925.5,8970.5,16670.0,16736.5,39873.5,39993.0,78104.5,78260.5,155174.0,157501.5,240087.0,243688.5,384927.0,396475.0,767353.5,790374.5,7815967.0,7862863.0,9024.0,9069.5,16771.5,16838.5,40039.0,40159.0,78299.0,78455.5,240296.0,243900.5,767759.5,790792.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-29,8847.0,8891.5,16517.0,16583.0,39492.5,39611.0,77346.0,77500.5,153662.5,155967.5,237737.5,241303.5,381149.0,392583.0,759799.5,782593.5,7740523.0,7786966.0,8949.0,8994.0,16621.5,16688.0,39661.5,39780.0,77543.5,77698.5,237949.5,241518.5,760215.0,783021.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-28,,,,,,,,,,,,,,,,,,,8920.5,8965.5,16564.5,16631.0,39518.5,39637.0,77257.5,77412.0,237061.5,240617.5,757360.0,780081.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-26,8819.0,8863.0,16460.0,16526.0,39349.5,39467.5,77060.0,77214.0,153091.5,155388.0,236849.5,240402.0,379721.0,391112.5,756944.5,779652.5,7711973.0,7758244.5,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-25,8820.5,8864.5,16463.0,16529.0,39357.5,39475.5,77075.0,77229.5,153122.0,155418.5,236896.5,240450.0,379796.5,391190.5,757096.0,779809.0,7713490.0,7759771.0,8922.0,8967.0,16567.5,16634.0,39526.0,39644.5,77272.5,77427.5,237108.5,240665.0,757512.0,780237.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-24,8806.0,8850.5,16435.0,16500.5,39286.5,39404.5,76933.5,77087.5,152839.5,155132.0,236457.5,240004.5,379090.5,390463.5,755684.0,778354.5,7699372.0,7745568.5,8908.0,8952.5,16539.5,16605.5,39455.0,39573.5,77131.5,77285.5,236669.5,240219.5,756100.0,778783.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-23,8806.5,8850.5,16435.0,16501.0,39287.0,39405.0,76935.0,77089.0,152842.0,155135.0,236462.0,240009.0,379097.5,390470.5,755698.0,778369.0,7699509.5,7745706.5,8908.5,8953.0,16540.0,16606.0,39456.0,39574.0,77132.5,77287.0,236673.5,240224.0,756114.0,778797.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-22,8806.0,8850.5,16435.0,16500.5,39286.5,39404.5,76933.5,77087.5,152839.5,155132.0,236457.5,240004.5,379090.5,390463.5,755684.0,778355.0,7699372.0,7745568.5,8908.0,8952.5,16539.5,16605.5,39455.0,39573.5,77131.5,77285.5,236669.5,240219.5,756100.0,778783.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-21,,,,,,,,,,,,,,,,,,,8842.5,8887.0,16408.5,16474.0,39125.5,39243.0,76472.0,76625.0,234621.5,238141.0,749516.5,772002.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-19,8737.5,8781.5,16300.5,16366.0,38953.5,39070.0,76269.0,76421.5,151523.5,153796.5,234405.0,237921.0,375789.0,387062.5,749079.0,771551.0,7633538.0,7679339.0,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-18,8673.0,8716.5,16171.0,16236.0,38628.0,38743.5,75618.0,75769.0,150223.5,152476.5,232383.0,235869.0,372537.5,383713.5,742578.0,764855.0,7568528.0,7613939.5,8778.0,8822.0,16279.0,16344.0,38800.0,38916.5,75821.0,75972.5,232599.5,236088.5,743016.0,765306.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-17,8636.0,8679.0,16097.0,16161.0,38436.5,38552.0,75243.5,75394.0,149475.5,151718.0,231220.5,234688.5,370667.5,381787.5,738839.5,761004.5,7531144.0,7576331.0,8740.5,8784.5,16204.5,16269.5,38612.5,38728.5,75446.5,75597.5,231437.0,234908.5,739277.5,761455.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-16,8564.0,8607.0,15953.5,16017.0,38076.0,38190.0,74522.0,74671.0,148035.5,150256.0,228980.0,232415.0,366839.0,377844.0,731637.5,753586.5,7459351.5,7504107.5,8669.0,8712.5,16061.5,16125.5,38252.0,38367.0,74725.0,74874.5,229196.5,232634.5,732075.5,754037.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-15,8580.0,8623.0,15985.5,16049.5,38156.5,38271.0,74683.0,74832.5,148357.0,150582.5,229480.5,232922.5,367643.0,378672.0,733245.5,755243.0,7475432.5,7520285.0,8685.0,8728.5,16093.5,16157.5,38332.5,38447.5,74886.0,75036.0,229697.0,233142.5,733683.5,755694.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-14,,,,,,,,,,,,,,,,,,,8668.5,8711.5,16060.0,16124.0,38248.5,38363.5,74718.0,74867.5,229175.5,232613.0,732006.5,753967.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-12,8563.5,8606.0,15953.0,16016.5,38061.0,38175.5,74504.0,74653.0,148114.5,150336.5,228954.5,232389.0,366909.0,377916.5,731531.0,753477.0,7458601.5,7503353.0,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-11,8483.5,8526.0,15793.0,15856.5,37661.5,37774.5,73705.0,73852.0,146516.0,148714.0,226468.5,229865.5,362913.0,373800.5,723539.0,745245.0,7378681.0,7422953.5,8589.0,8631.5,15901.0,15964.5,37848.5,37962.0,73918.0,74065.5,226689.5,230090.0,724014.5,745735.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-10,8429.0,8471.0,15688.0,15751.0,37411.5,37524.0,73200.0,73346.5,145510.0,147692.5,224908.5,228282.5,360408.5,371220.5,718536.0,740092.0,,,8539.0,8581.5,15801.5,15864.5,37598.0,37711.0,73417.0,73564.0,225134.5,228511.5,719015.5,740586.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-09,8497.0,8539.5,15824.5,15888.0,37752.5,37866.0,73882.0,74029.5,146873.5,149077.0,227030.0,230435.5,363818.0,374733.0,725355.5,747116.0,,,8607.0,8650.0,15937.0,16001.0,37939.5,38053.5,74100.0,74248.5,227255.5,230664.5,725835.0,747610.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-08,8469.5,8511.5,15769.0,15832.0,37613.5,37726.5,73604.0,73751.0,146318.0,148512.5,226165.5,229558.0,362429.0,373301.5,722576.5,744254.0,,,8579.5,8622.0,15881.5,15945.5,37800.5,37914.0,73822.0,73969.5,226391.5,229787.5,723056.5,744748.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-07,,,,,,,,,,,,,,,,,,,8604.0,8647.0,15931.0,15995.0,37924.5,38038.5,74070.0,74218.0,227162.0,230569.5,725534.5,747300.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-05,8489.0,8531.5,15814.0,15877.0,37732.5,37845.5,73847.0,73994.5,146807.0,149009.0,226931.5,230335.5,363663.0,374572.5,725049.5,746801.0,,,,,,,,,,,,,,,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-04,8462.0,8504.5,15760.0,15823.0,37597.5,37710.5,73577.0,73724.5,146267.5,148461.5,226092.5,229484.0,362314.5,373184.0,722353.0,744023.5,,,8577.0,8620.0,15877.5,15941.0,37789.5,37903.0,73800.0,73947.5,226323.5,229718.5,722838.0,744523.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-03,8491.0,8533.5,15819.0,15882.5,37750.5,37864.0,73885.5,74033.0,146885.0,149088.5,227054.5,230460.0,363861.5,374777.5,725449.5,747213.0,,,8608.0,8651.0,15939.0,16003.0,37944.5,38058.5,74110.0,74258.5,227287.0,230696.5,725936.0,747714.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-02,8495.5,8538.0,15828.0,15891.0,37772.0,37885.5,73928.5,74076.0,146971.0,149175.5,227188.0,230596.0,364076.5,374999.0,725879.0,747655.5,,,8612.0,8655.5,15947.5,16011.5,37966.0,38080.0,74153.5,74301.5,227421.0,230832.0,726366.0,748157.0,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-10-01,8388.5,8430.5,15616.0,15678.5,37245.0,37357.0,72876.0,73022.0,144868.0,147041.0,223919.5,227278.5,358823.5,369588.0,715375.5,736837.0,,,8507.5,8550.0,15738.5,15801.5,37440.5,37552.5,73101.5,73247.5,224154.5,227517.0,715864.5,737340.5,90.7,0.116,0.825,86.85,91.7,0.182,0.855,87.35
2024-09-30,,,,,,,,,,,,,,,,,,,8593.5,8636.5,15910.0,15973.5,37871.0,37985.0,73963.5,74111.0,226830.5,230233.0,724468.5,746203.0,,,,,,,,
2024-09-27,,,,,,,,,,,,,,,,,,,8598.5,8641.5,15920.0,15984.0,37897.0,38010.5,74015.0,74163.0,226990.5,230395.5,724983.0,746732.5,,,,,,,,
